Index,Category_EN,SubCategory_EN,Category_FR,SubCategory_FR,Question_EN,Answers_EN,Question_FR,Answers_FR
100,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Name one war fought by the United States in the 1900s.,"World War I, World War II, Korean War, Vietnam War, (Persian) Gulf War",Citez une guerre à laquelle les États-Unis ont participé au XXème siècle,Première Guerre Mondiale
101,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Why did the United States enter World War I?,"Because Germany attacked U.S. (civilian) ships, To support the Allied Powers (England, France, Italy, and Russia), To oppose the Central Powers (Germany, Austria-Hungary, the Ottoman Empire, and Bulgaria)",Pourquoi les États-Unis ont-ils joint la Première Guerre mondiale?,"Parce que l’Allemagne a attaqué des navires américains (civils), Pour soutenir les puissances alliées (Angleterre, France, Italie et Russie)"
102,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,When did all women get the right to vote?,"1920, After World War I, (With the) 19th Amendment",,
102,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Quand est-ce que toutes les femmes ont obtenu le droit de vote ?,1920,,Après la Première Guerre mondiale
103,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,What was the Great Depression?,Longest economic recession in modern history,Qu’est-ce que la Grande Dépression?,La plus longue récession économique de l’histoire moderne
104,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,When did the Great Depression start?,"The Great Crash (1929), Stock market crash of 1929",Quand la Grande Dépression a-t-elle commencé ?,
105,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Who was president during the Great Depression and World War II?,(Franklin) Roosevelt,Qui était Président au cours de la Grande Dépression et de la Seconde Guerre Mondiale?,
106,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Why did the United States enter World War II?,"(Bombing of) Pearl Harbor, Japanese attacked Pearl Harbor, To support the Allied Powers (England, France, and Russia), To oppose the Axis Powers (Germany, Italy, and Japan)",Pourquoi les États-Unis ont-ils joint la Seconde Guerre mondiale?,
107,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Dwight Eisenhower is famous for many things. Name one.,"General during World War II, President at the end of (during) the Korean War, 34th president of the United States, Signed the Federal-Aid Highway Act of 1956 (Created the Interstate System)",Dwight Eisenhower est célèbre pour beaucoup de choses. Nommez-en une.,"Général pendant la Seconde Guerre mondiale, Président à la fin de (pendant) la guerre de Corée, 34e président des États-Unis, Signature de la Federal-Aid Highway Act de 1956 (création du réseau interétatique)"
108,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Who was the United States’ main rival during the Cold War?,"Soviet Union, USSR, Russia",Qui était le principal rival des États-Unis pendant la guerre froide?,Union soviétique
109,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,"During the Cold War, what was one main concern of the United States?","Communism, Nuclear war","Pendant la guerre froide, quelle était l’une des principales préoccupations des États-Unis?",
110,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Why did the United States enter the Korean War?,To stop the spread of communism,Pourquoi les États-Unis ont-ils joint la guerre de Corée?,Arrêter la propagation du communisme
111,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Why did the United States enter the Vietnam War?,To stop the spread of communism,Pourquoi les États-Unis ont-ils participé à la guerre du Vietnam?,Arrêter la propagation du communisme
112,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,What did the civil rights movement do?,Fought to end racial discrimination,,
112,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Qu’a fait le mouvement des droits civils?,,,A lutté pour mettre fin à la discrimination raciale
113,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,"Martin Luther King, Jr. is famous for many things. Name one. *","Fought for civil rights, Worked for equality for all Americans, Worked to ensure that people would “not be judged by the color of their skin, but by the content of their character”","Martin Luther King, Jr. est célèbre pour de nombreuses raisons. Nommez-en une. *",
114,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Why did the United States enter the Persian Gulf War?,To force the Iraqi military from Kuwait,Pourquoi les États-Unis ont-ils joint dans la guerre du golfe Persique?,Forcer l’armée irakienne à quitter le Koweït
115,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,"What major event happened on September 11, 2001 in the United States? *","Terrorists attacked the United States, Terrorists took over two planes and crashed them into the World Trade Center in New York City, Terrorists took over a plane and crashed into the Pentagon in Arlington, Virginia, Terrorists took over a plane originally aimed at Washington, D.C., and crashed in a field in Pennsylvania",Quel important événement s’est produit le 11 septembre 2001 aux États-Unis?*,"Attaque terroriste aux États-Unis., Des terroristes ont pris deux avions et les ont fait s'écraser sur le World Trade Center de New York, Des terroristes ont pris un avion et l'ont fait s'écraser sur le Pentagone à Arlington, en Virginie, Des terroristes ont pris un avion se dirigeant à l’origine vers Washington, D.C., et l'ont fait s'écraser dans un champ en Pennsylvanie"
116,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,"Name one U.S. military conflict after the September 11, 2001 attacks.","(Global) War on Terror, War in Afghanistan, War in Iraq",Nommez un conflit militaire américain après les attentats du 11 septembre 2001,
117,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Name one American Indian tribe in the United States.,"Apache, Blackfeet, Cayuga, Cherokee, Cheyenne, Chippewa, Choctaw, Creek, Crow, Hopi, Huron, Inupiat, Lakota, Mohawk, Mohegan, Navajo, Oneida, Onondaga, Pueblo, Seminole, Seneca, Shawnee, Sioux, Teton, Tuscarora For a complete list of tribes, please visit bia.gov.",Citez une tribu d’Amérindiens aux États-Unis.,
118,American History,Recent American History and Other Important Historical Information,Histoire Américaine,Histoire américaine moderne et autres données historiques importantes,Name one example of an American innovation.,"Light bulb, Automobile (cars, combustible engine), Skyscrapers, Airplane, Assembly line, Landing on the moon, Integrated circuit (IC)",Nommez un exemple d’innovation américaine.,
119,Symbols and Holidays,Symboles,Symboles et Jours Fériés,Symbols Symboles et Congés,What is the capital of the United States?,"Washington, D.C.",Quelle est la capitale des États-Unis d’Amérique ?,
120,Symbols and Holidays,Symboles,Symboles et Jours Fériés,Symbols Symboles et Congés,Where is the Statue of Liberty?,"New York (Harbor), Liberty Island [Also acceptable are New Jersey, near New York City, and on the Hudson (River).]",Où se trouve la Statue de la Liberté ?,
121,Symbols and Holidays,Symboles,Symboles et Jours Fériés,Symbols Symboles et Congés,Why does the flag have 13 stripes? *,"(Because there were) 13 original colonies, (Because the stripes) represent the original colonies",,
121,Symbols and Holidays,Symboles,Symboles et Jours Fériés,Symbols Symboles et Congés,Pourquoi le drapeau compte-t-il 13 bandes? *,Car il y avait 13 colonies originales,,Car les bandes représentent les colonies originales
122,Symbols and Holidays,Symboles,Symboles et Jours Fériés,Symbols Symboles et Congés,Why does the flag have 50 stars?,"(Because there is) one star for each state, (Because) each star represents a state, (Because there are) 50 states",Pourquoi le drapeau présente-t-il 50 étoiles?,"Une étoile pour chaque État, Chaque étoile représente un État, On compte 50 États"
123,Symbols and Holidays,Symboles,Symboles et Jours Fériés,Symbols Symboles et Congés,What is the name of the national anthem?,The Star-Spangled Banner,,
123,Symbols and Holidays,Symboles,Symboles et Jours Fériés,Symbols Symboles et Congés,Quel est le nom de l’hymne national ?,,,The Star-Spangled Banner (La bannière étoilée)
124,Symbols and Holidays,Symboles,Symboles et Jours Fériés,Symbols Symboles et Congés,The Nation’s first motto was “E Pluribus Unum.” What does that mean?,"Out of many, one, We all become one",La première devise de la Nation était « E Pluribus Unum » Qu’est-ce que cela signifie?,un seul à partir
125,Symbols and Holidays,Holidays,Symboles et Jours Fériés,Congés,What is Independence Day?,"A holiday to celebrate U.S. independence (from Britain), The country’s birthday",Qu'est-ce que le jour de l'Indépendance?,Un jour férié pour célébrer l’indépendance des États-Unis (de la Grande-Bretagne)
126,Symbols and Holidays,Holidays,Symboles et Jours Fériés,Congés,Name three national U.S. holidays. *,"New Year’s Day, Martin Luther King, Jr. Day, Presidents Day (Washington’s Birthday), Memorial Day, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day",Citez Trois jours fériés nationaux aux États-Unis.*,
127,Symbols and Holidays,Holidays,Symboles et Jours Fériés,Congés,What is Memorial Day?,A holiday to honor soldiers who died in military service,,
127,Symbols and Holidays,Holidays,Symboles et Jours Fériés,Congés,Qu'est-ce que le Jour du Souvenir (Memorial Day)?,,,Une fête en l’honneur des soldats qui sont morts pendant leur service militaire
128,Symbols and Holidays,Holidays,Symboles et Jours Fériés,Congés,What is Veterans Day?,"A holiday to honor people in the (U.S.) military, A holiday to honor people who have served (in the U.S. military)",Qu’est-ce que la Journée des anciens combattants (Veteran's Day)?,"Une fête en l’honneur des militaires des États-Unis, Une fête en l’honneur des personnes qui ont servi (dans l’armée américaine)"
