Index,Category,SubCategory,Questions,Answers,rationale,Wrong
67,American Government,Rights and Responsibilities,Name two promises that new citizens make in the Oath of Allegiance.,"Give up loyalty to other countries, Defend the (U.S.) Constitution, Obey the laws of the United States, Serve in the military (if needed), Serve (help, do important work for) the nation (if needed), Be loyal to the United States","When new citizens take the Oath of Allegiance, they make important promises to show their commitment to the United States. These promises include giving up loyalty to other countries, upholding the U.S. Constitution, obeying laws, and being ready to serve the nation if needed.","Fail to vote in elections, Disobey the (U.S.) Constitution, Ignore the laws of the United States
Refuse to serve in the military (if needed), Avoid serving (helping, doing important work for) the nation (if needed), Be disloyal to the United States
Keep loyalty to other countries, Do not defend the (U.S.) Constitution, Do not obey the laws of the United States"
68,American Government,Rights and Responsibilities,How can people become United States citizens?,"Be born in the United States, under the conditions set by the 14th Amendment, Naturalize, Derive citizenship (under conditions set by Congress)","To become a U.S. citizen, individuals can be born in the U.S. (as per the 14th Amendment), go through the naturalization process, or derive citizenship through a parent, under conditions set by Congress.","Join the military (and serve for a specified period), Marry a United States citizen, Win a lottery (for permanent residency)
Purchase property in the United States, Own a business, Have a relative (who is a citizen)
Vote in federal elections, Pay taxes (for a certain number of years), Attend a United States university (and graduate)"
69,American Government,Rights and Responsibilities,What are two examples of civic participation in the United States?,"Vote, Run for office, Join a political party, Help with a campaign, Join a civic group, Join a community group, Give an elected official your opinion (on an issue), Contact elected officials, Support or oppose an issue or policy, Write to a newspaper",Civic participation refers to the ways citizens engage in their communities and government. Two common examples include voting in elections and joining a political party to support specific candidates or policies.,"Pay taxes, Follow traffic laws, Serve on a jury
Respect others' beliefs, Volunteer in the community, Attend school regularly
Obey laws, Exercise regularly, Recycle waste materials"
70,American Government,Rights and Responsibilities,What is one way Americans can serve their country?,"Vote, Pay taxes, Obey the law, Serve in the military, Run for office, Work for local, state, or federal government","Serving your country means actively participating in the responsibilities of citizenship to help the nation and its people. This includes civic duties like voting and obeying laws, as well as more direct service such as military involvement or working for the government.","Do not vote, Do not pay taxes, Do not obey the law
Do not serve in the military, Do not run for office, Do not work for the government
Ignore laws, Evade taxes, Disrespect authority"
71,American Government,Rights and Responsibilities,Why is it important to pay federal taxes?,"Required by law, All people pay to fund the federal government, Required by the (U.S.) Constitution (16th Amendment), Civic duty","Paying federal taxes is a civic duty and a legal requirement in the United States, as mandated by law and the 16th Amendment of the U.S. Constitution. These taxes fund the federal government and its operations.","Not required by law, All people pay to get benefits, Not required by the (U.S.) Constitution (1st Amendment), Not a civic duty
Optional for some people, Only certain people pay to fund local government, Required by the (U.S.) Constitution (1st Amendment), Optional duty
Voluntary contribution, Only high-income earners pay to fund state government, Not mentioned in the (U.S.) Constitution, Personal choice"
72,American History,Rights and Responsibilities,It is important for all men age 18 through 25 to register for the Selective Service. Name one reason why.,"Required by law, Civic duty, Makes the draft fair, if needed","The Selective Service System requires almost all male U.S. citizens and male immigrants living in the U.S. who are 18-25 years old to register. This registration is important because it is mandated by law, considered a civic duty, and helps ensure a fair and equitable draft process if a national emergency requires it.","Avoid taxes, Get a free education, Travel the world
Become a soldier, Get a high-paying job, Receive special benefits
Live in a new country, Learn a new language, Meet new people"
73,American History,Colonial Period and Independence,The colonists came to America for many reasons. Name one.,"Freedom, Political liberty, Religious freedom, Economic opportunity, Escape persecution","The colonists came to America seeking a better life. Their reasons included:
Freedom: The ability to live and worship as they chose without persecution.
Political Liberty: The desire for self-governance and freedom from oppressive rule.
Religious Freedom: To escape religious persecution and practice their faith freely.
Economic Opportunity: The chance to own land, find work, and improve their financial situation.
Escape Persecution: To flee from various forms of hardship and injustice in their home countries.","High taxes, British rule, Lack of land
Adventure, Gold, New trade routes
Exploration, Scientific discovery, Spreading democracy"
74,American History,Colonial Period and Independence,Who lived in America before the Europeans arrived? *,"American Indians, Native Americans","American Indians, also known as Native Americans, were the indigenous people inhabiting the Americas for thousands of years before European colonization began in the late 15th century. They developed diverse cultures, languages, and societies across the continent.","Europeans, Colonists
Africans, Asians
Vikings, Explorers"
75,American History,Colonial Period and Independence,What group of people was taken and sold as slaves?,"Africans, People from Africa","Africans were forcibly removed from their homes and transported across the Atlantic Ocean to be sold into slavery, primarily to work on plantations in the Americas. This brutal system, known as the transatlantic slave trade, lasted for centuries and resulted in immense suffering and the exploitation of millions of people.","Europeans, People from Europe
Asians, People from Asia
Native Americans, People from the Americas"
76,American History,Colonial Period and Independence,What war did the Americans fight to win independence from Britain?,"American Revolution, The (American) Revolutionary War, War for (American) Independence","The American Revolution (1775-1783) was a war fought by the 13 American colonies against Great Britain to gain independence. The colonists, unhappy with British rule and taxes, declared independence and, with the help of France, defeated the British, forming the United States of America.","World War (II), The (Second) World War, War for (Global) Supremacy
Civil War, The (American) Civil War, War for (Southern) Independence
Mexican-American War, The (Mexican) Border War, War for (Territorial) Expansion"
77,American History,Colonial Period and Independence,Name one reason why the Americans declared independence from Britain.,"High taxes, Taxation without representation, British soldiers stayed in Americans’ houses (boarding, quartering), They did not have self-government, Boston Massacre, Boston Tea Party (Tea Act), Stamp Act, Sugar Act, Townshend Acts, Intolerable (Coercive) Acts","The American colonies declared independence from Britain due to various grievances. Key reasons included ""taxation without representation,"" meaning they were taxed by the British Parliament but had no elected representatives there, leading to high taxes like the Stamp Act and Sugar Act. British soldiers were also quartered in American homes without consent. Events like the Boston Massacre and Boston Tea Party further fueled desires for self-governance.","Low taxes, Representation with taxation, British soldiers built Americans' houses (construction, building), They had self-government, Boston Tea Party (Tea Act), Stamp Act, Sugar Act, Townshend Acts, Intolerable (Coercive) Acts
No taxes, Plenty of representation, British soldiers left Americans' houses (vacating, moving out), They had self-government, Boston Massacre, Boston Tea Party (Tea Act), Stamp Act, Sugar Act, Townshend Acts, Intolerable (Coercive) Acts
Few taxes, Taxation with representation, British soldiers cooked in Americans’ houses (catering, cooking), They had self-government, Boston Tea Party (Tea Act), Stamp Act, Sugar Act, Townshend Acts, Intolerable (Coercive) Acts"
78,American History,Colonial Period and Independence,Who wrote the Declaration of Independence? *,(Thomas) Jefferson,"Thomas Jefferson was the primary author of the Declaration of Independence, a foundational document in American history that declared the thirteen American colonies independent from Great Britain. He was a key figure in the American Revolution and later became the third President of the United States.","(Benjamin) Franklin
(George) Washington
(John) Adams"
79,American History,Colonial Period and Independence,When was the Declaration of Independence adopted?,"July 4, 1776","The Declaration of Independence was a statement adopted by the Second Continental Congress meeting at the Pennsylvania State House in Philadelphia on July 4, 1776. It announced that the thirteen American colonies, then at war with Great Britain, regarded themselves as thirteen newly independent sovereign states, and no longer under British rule.","September 17, 1787
December 15, 1791
November 11, 1620"
80,American History,Colonial Period and Independence,The American Revolution had many important events. Name one.,"(Battle of) Bunker Hill, Declaration of Independence, Washington Crossing the Delaware (Battle of Trenton), (Battle of) Saratoga, Valley Forge (Encampment), (Battle of) Yorktown (British surrender at Yorktown)","The American Revolution was a war fought for independence from Great Britain. Key events include:  * **Battle of Bunker Hill:** Early battle showing colonial resolve.
  * **Declaration of Independence:** Formal statement of separation from British rule.
  * **Washington Crossing the Delaware (Battle of Trenton):** A surprise attack boosting American morale.
  * **Battle of Saratoga:** A turning point that brought French support.
  * **Valley Forge (Encampment):** Winter encampment where the Continental Army faced harsh conditions but regrouped.
  * **Battle of Yorktown:** The decisive battle leading to British surrender.","(Battle of) Gettysburg, Attack on Pearl Harbor, (Battle of) Antietam
(Boston) Tea Party, Emancipation Proclamation, Civil Rights Act
(Louisiana) Purchase, Lewis and Clark Expedition, Panama Canal"
81,American History,Colonial Period and Independence,There were 13 original states. Name five.,"New Hampshire, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Delaware, Maryland, Virginia, North Carolina, South Carolina, Georgia","The thirteen original states were the first colonies to declare independence from Great Britain and form the United States of America. These states are: New Hampshire, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Delaware, Maryland, Virginia, North Carolina, South Carolina, and Georgia.","Florida, California, Texas, Illinois, Ohio
Washington, Oregon, Nevada, Arizona, Utah
Colorado, Kansas, Missouri, Arkansas, Louisiana"
82,American History,Colonial Period and Independence,What founding document was written in 1787?,(U.S.) Constitution,"The U.S. Constitution is the supreme law of the United States. Written in 1787, it established the framework for the federal government and guaranteed the rights of citizens. It outlines the powers of the legislative, executive, and judicial branches, and has been amended over time to adapt to the nation's evolving needs.","(Bill of Rights)
(Declaration of Independence)
(Articles of Confederation)"
83,American History,Colonial Period and Independence,The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,"(James) Madison, (Alexander) Hamilton, (John) Jay, Publius","The Federalist Papers were a series of 85 essays written by James Madison, Alexander Hamilton, and John Jay to promote the ratification of the United States Constitution. These essays explained and defended the newly drafted Constitution, arguing for a strong federal government to ensure stability and protect individual liberties. Publius was the pseudonym used by these three writers.","(Thomas) Jefferson, (Benjamin) Franklin, (George) Washington, Common Sense
(John) Adams, (Paul) Revere, (Samuel) Adams, The Crisis
(Patrick) Henry, (Thomas) Paine, (Alexander) Hamilton, The Rights of Man"
84,American History,Colonial Period and Independence,Why were the Federalist Papers important?,"They helped people understand the (U.S.) Constitution., They supported passing the (U.S.) Constitution.",The Federalist Papers were a series of essays written to persuade people to ratify the U.S. Constitution. They explained how the new government would work and why it was important to approve the Constitution.,"They helped people understand the (U.S.) Declaration of Independence., They supported passing the (U.S.) Articles of Confederation.
They helped people understand the (U.S.) Bill of Rights., They supported passing the (U.S.) Emancipation Proclamation.
They helped people understand the (U.S.) Compromise of 1850., They supported passing the (U.S.) Kansas-Nebraska Act."
85,American History,Colonial Period and Independence,Benjamin Franklin is famous for many things. Name one.,"Founded the first free public libraries, First Postmaster General of the United States, Helped write the Declaration of Independence, Inventor, U.S. diplomat","Benjamin Franklin was a prominent American polymath who was active as a writer, scientist, inventor, statesman, diplomat, printer, publisher, and political philosopher. He is known for his many contributions to American society and his role in the founding of the United States.

Answers:  * Founded the first free public libraries: Franklin established the Library Company of Philadelphia in 1731, making books accessible to the public.
  * First Postmaster General of the United States: He reorganized the postal system, making it more efficient.
  * Helped write the Declaration of Independence: Franklin was one of the five members of the committee that drafted this foundational document.
  * Inventor: His inventions include the lightning rod, bifocal glasses, and the Franklin stove.
  * U.S. diplomat: He played a crucial role in securing French support for the American Revolutionary War.","Wrote ""Common Sense"", Negotiated the Louisiana Purchase, Led the Continental Army
Discovered electricity, Invented the telephone, First President of the United States
Signed the Constitution, Authored the Bill of Rights, Commander of the USS Constitution"
86,American History,Colonial Period and Independence,George Washington is famous for many things. Name one. *,"“Father of Our Country”, First president of the United States, General of the Continental Army, President of the Constitutional Convention","George Washington was a pivotal figure in American history, leading the Continental Army to victory during the Revolutionary War and becoming the first President of the United States. He is often called the ""Father of Our Country"" for his crucial role in establishing the nation. He also presided over the Constitutional Convention, which drafted the U.S. Constitution.","“First to sail to America”, Signed the Declaration of Independence, Wrote the Constitution, Led the Boston Tea Party
“Founder of New York City”, Third president of the United States, General of the Union Army, President of the Louisiana Purchase
“Discoverer of Electricity”, Second president of the United States, Author of the Bill of Rights, Governor of California"
87,American History,Colonial Period and Independence,Thomas Jefferson is famous for many things. Name one.,"Writer of the Declaration of Independence, Third president of the United States, Doubled the size of the United States (Louisiana Purchase), First Secretary of State, Founded the University of Virginia, Writer of the Virginia Statute on Religious Freedom","Thomas Jefferson was a key figure in early American history, serving as the third U.S. President and the primary author of the Declaration of Independence, a foundational document for the United States. His presidency was notable for the Louisiana Purchase, which significantly expanded the country's territory. He also held roles as the first Secretary of State, founded the University of Virginia, and championed religious freedom through the Virginia Statute for Religious Freedom.","First president of the United States, Wrote the Emancipation Proclamation, Invented the light bulb
Led the Continental Army, Signed the Constitution, Discoverer of America
Authored the Bill of Rights, Fourth president of the United States, Purchased Alaska"
88,American History,Colonial Period and Independence,James Madison is famous for many things. Name one.,"“Father of the Constitution”, Fourth president of the United States, President during the War of 1812, One of the writers of the Federalist Papers","James Madison was a key figure in early American history, often called the ""Father of the Constitution"" for his pivotal role in drafting the U.S. Constitution. He also served as the fourth President during the War of 1812 and co-authored the influential Federalist Papers.","“Author of the Declaration of Independence”, Second president of the United States, President during the Civil War, One of the signers of the Constitution
“Founder of the United Nations”, Third president of the United States, President during World War I, One of the authors of the Bill of Rights
“Emancipator of Slaves”, First president of the United States, President during the Revolutionary War, One of the creators of the Articles of Confederation"
89,American History,1800s,Alexander Hamilton is famous for many things. Name one.,"First Secretary of the Treasury, One of the writers of the Federalist Papers, Helped establish the First Bank of the United States, Aide to General George Washington, Member of the Continental Congress","Alexander Hamilton was a key figure in early American history, serving as the first Secretary of the Treasury. He was instrumental in establishing the nation's financial system, including the First Bank of the United States. He also played a significant role in advocating for the Constitution through his contributions to The Federalist Papers.","First President of the United States, Wrote the Declaration of Independence, Invented the light bulb
Leader of the Confederate Army, Helped establish the National Park Service, Signed the Emancipation Proclamation
Aide to President Abraham Lincoln, Member of the Supreme Court, Fought in the War of 1812"
90,American History,1800s,What territory did the United States buy from France in 1803?,"Louisiana Territory, Louisiana","The Louisiana Purchase was a massive land deal in 1803 where the United States bought approximately 827,000 square miles of territory from France for about $15 million. This acquisition, which effectively doubled the size of the young United States, was a key moment in American history, paving the way for westward expansion across the continent.","Florida Territory, Florida
Texas Territory, Texas
Alaska Territory, Alaska"
91,American History,1800s,Name one war fought by the United States in the 1800s.,"War of 1812, Mexican-American War, Civil War, Spanish-American War",The United States was involved in several significant conflicts during the 1800s. The War of 1812 was fought against Great Britain. The Mexican-American War resulted in significant territorial gains for the U.S. The Civil War was a conflict between the Northern and Southern states over issues including slavery. The Spanish-American War marked the end of Spanish colonization in the Americas and the rise of the U.S. as a world power.,"Korean War, Vietnam War, Persian Gulf War, World War II
American Revolution, French and Indian War, World War I, Cold War
Civil Rights Movement, Great Depression, Roaring Twenties, Industrial Revolution"
92,American History,1800s,Name the U.S. war between the North and the South.,The Civil War,"The Civil War was a war fought in the United States from 1861 to 1865 between the Northern states (Union) and Southern states (Confederacy). The primary cause was the dispute over slavery, states' rights, and economic differences.","The Mexican War
The Korean War
The Vietnam War"
93,American History,1800s,The Civil War had many important events. Name one.,"(Battle of) Fort Sumter, Emancipation Proclamation, (Battle of) Vicksburg, (Battle of) Gettysburg, Sherman’s March, (Surrender at) Appomattox, (Battle of) Antietam/Sharpsburg, Lincoln was assassinated.","The Civil War was a conflict in the United States from 1861 to 1865 between the Union (Northern states) and the Confederacy (Southern states). It was primarily fought over the issues of slavery and states' rights.

Here are some key events:  * Fort Sumter: The first shots of the Civil War were fired here.
  * Emancipation Proclamation: A presidential order by Abraham Lincoln that declared most enslaved people in the Confederate states to be free.
  * Vicksburg: A major Union victory that gave them control of the Mississippi River.
  * Gettysburg: A crucial Union victory that marked a turning point in the war.
  * Sherman’s March: A destructive military campaign led by Union General William Tecumseh Sherman through Georgia and the Carolinas.
  * Appomattox: The site where Confederate General Robert E. Lee surrendered to Union General Ulysses S. Grant, effectively ending the Civil War.
  * Antietam/Sharpsburg: The bloodiest single-day battle in American history.
  * Lincoln was assassinated: President Abraham Lincoln was assassinated shortly after the war ended.","(Attack on) Pearl Harbor
Boston Tea Party
Declaration of Independence"
94,American History,1800s,Abraham Lincoln is famous for many things. Name one. *,"Freed the slaves (Emancipation Proclamation), Saved (or preserved) the Union, Led the United States during the Civil War, 16th president of the United States, Delivered the Gettysburg Address","Abraham Lincoln was the 16th U.S. President who led the country during the Civil War, preserved the Union, and issued the Emancipation Proclamation to free enslaved people. He also delivered the famous Gettysburg Address.","Founded the United States (Constitutional Convention), Wrote the Declaration of Independence, Served as the first president of the United States, Led the colonists during the American Revolution, Negotiated the Louisiana Purchase
Signed the Bill of Rights (First Amendment), Invented the light bulb, Explored the American West (Lewis and Clark Expedition), Purchased Alaska from Russia, Delivered the ""I Have a Dream"" speech
Authored ""Common Sense"" (Revolutionary Pamphlet), Abolished slavery (13th Amendment), Fought for women's suffrage, Established the National Park Service, Oversaw the construction of the Panama Canal"
95,American History,1800s,What did the Emancipation Proclamation do?,"Freed the slaves, Freed slaves in the Confederacy, Freed slaves in the Confederate states, Freed slaves in most Southern states","The Emancipation Proclamation, issued by President Abraham Lincoln during the American Civil War, declared that most enslaved people in the Confederate states were free. While it didn't immediately free all slaves, it was a pivotal step towards the abolition of slavery in the United States and changed the nature of the war to also be about freedom.","Established the Constitution, Granted women the right to vote, Ended the Civil War
Declared independence from Britain, Created the Bill of Rights, Formed the Supreme Court
Protected religious freedom, Guaranteed freedom of speech, Provided universal healthcare"
96,American History,1800s,What U.S. war ended slavery?,The Civil War,"The Civil War, fought from 1861-1865, was a conflict between the United States and 11 Southern states that seceded from the Union, primarily over the issue of slavery. The Union's victory effectively ended slavery in the U.S.","The Revolutionary War
The War of 1812
The Mexican-American War"
97,American History,1800s,"What amendment says all persons born or naturalized in the United States, and subject to the jurisdiction thereof, are U.S. citizens?",14th Amendment,"The 14th Amendment, ratified on July 9, 1868, is a crucial part of the U.S. Constitution. Its first section declares that all persons born or naturalized in the United States are citizens, and it guarantees equal protection of the laws to all citizens, including formerly enslaved people. This amendment has been central to many landmark Supreme Court decisions, establishing civil rights and equal treatment under the law.","10th Amendment
12th Amendment
19th Amendment"
98,American History,1800s,When did all men get the right to vote?,"After the Civil War, During Reconstruction, (With the) 15th Amendment, 1870","After the Civil War, the 15th Amendment to the United States Constitution was ratified in 1870, granting all men, regardless of race, the right to vote. This period, known as Reconstruction, aimed to rebuild the South and integrate formerly enslaved people into society.","Before the Civil War, During Antebellum, (With the) 10th Amendment, 1850
Before the Great Depression, During Manifest Destiny, (With the) 13th Amendment, 1920
After World War I, During the Roaring Twenties, (With the) 19th Amendment, 1900"
99,American History,Recent American History,Name one leader of the women’s rights movement in the 1800s.,"Susan B. Anthony, Elizabeth Cady Stanton, Sojourner Truth, Harriet Tubman, Lucretia Mott, Lucy Stone","The women's rights movement in the 1800s focused on achieving equal rights for women, including suffrage. Susan B. Anthony and Elizabeth Cady Stanton were prominent figures who co-founded organizations like the American Equal Rights Association and the National Woman Suffrage Association. Other key leaders included Sojourner Truth, Harriet Tubman, Lucretia Mott, and Lucy Stone, who advocated for women's suffrage and other rights, often forming alliances with the abolitionist movement.","Eleanor Roosevelt, Rosa Parks, Amelia Earhart, Clara Barton, Sacagawea, Harriet Tubman
Dolly Parton, Beyoncé, Taylor Swift, Rihanna, Madonna, Adele
Marilyn Monroe, Audrey Hepburn, Grace Kelly, Elizabeth Taylor, Katharine Hepburn, Bette Davis"
100,American History,Recent American History,Name one war fought by the United States in the 1900s.,"World War I, World War II, Korean War, Vietnam War, (Persian) Gulf War",The United States was involved in several major wars during the 20th century. These conflicts had significant impacts on global politics and American society.,"French and Indian War, Civil War, Revolutionary War, War of 1812, (Mexican-American) War
Spanish-American War, American Civil War, Vietnam War, Persian Gulf War, (Operation Desert) Storm
War of 1812, Mexican-American War, Civil War, Spanish-American War, (World) War"
101,American History,Recent American History,Why did the United States enter World War I?,"Because Germany attacked U.S. (civilian) ships, To support the Allied Powers (England, France, Italy, and Russia), To oppose the Central Powers (Germany, Austria-Hungary, the Ottoman Empire, and Bulgaria)","The United States entered World War I due to Germany's unrestricted submarine warfare, which included attacks on U.S. civilian ships, and to support the Allied Powers while opposing the Central Powers.

Background: In 1917, Germany resumed unrestricted submarine warfare, sinking U.S. ships like the Aztec, which greatly angered the American public and President Wilson. This, combined with a desire to support the Allied forces and counter the Central Powers, led the U.S. to declare war on Germany.","Because Japan attacked U.S. (naval) bases, To prevent the spread of communism (in Eastern Europe and Asia), To establish global peace (through a new international organization)
To gain new colonial territories (in Africa and Asia), To retaliate against economic sanctions (imposed by European powers), To spread democracy (around the world)
Because Mexico invaded U.S. (border) towns, To acquire valuable natural resources (oil, rubber, and minerals), To support the Axis Powers (Germany, Italy, and Japan)"
102,American History,Recent American History,When did all women get the right to vote?,"1920, After World War I, (With the) 19th Amendment","The 19th Amendment to the US Constitution granted women the right to vote. This landmark achievement, ratified in 1920, culminated decades of advocacy by the women's suffrage movement, which intensified after World War I.","1945, After World War II, (With the) 20th Amendment
1900, Before World War I, (With the) 18th Amendment
1970, During the Vietnam War, (With the) 21st Amendment"
103,American History,Recent American History,What was the Great Depression?,Longest economic recession in modern history,The Great Depression was a severe worldwide economic depression that took place mostly during the 1930s. It was the longest and most widespread economic downturn in modern history.,"Shortest economic boom in ancient times
Biggest political scandal in recent memory
Fastest technological advancement in human history"
104,American History,Recent American History,When did the Great Depression start?,"The Great Crash (1929), Stock market crash of 1929","The Great Depression began with the stock market crash in October 1929, known as the Great Crash, which triggered a severe worldwide economic downturn.","The Grand Recession (1939), Economic downturn of 1939
The Market Bubble (1919), Financial collapse of 1919
The Banking Crisis (1909), Credit crunch of 1909"
105,American History,Recent American History,Who was president during the Great Depression and World War II?,(Franklin) Roosevelt,Franklin Delano Roosevelt served as the 32nd President of the United States from 1933 to 1945. He is known for leading the country through the Great Depression with his New Deal programs and for his leadership during World War II.,"(Herbert) Hoover
(Harry) Truman
(Woodrow) Wilson"
106,American History,Recent American History,Why did the United States enter World War II?,"(Bombing of) Pearl Harbor, Japanese attacked Pearl Harbor, To support the Allied Powers (England, France, and Russia), To oppose the Axis Powers (Germany, Italy, and Japan)","The United States entered World War II due to the surprise attack on Pearl Harbor by Japan, which propelled the nation to officially join the Allied Powers (England, France, and Russia) and actively oppose the Axis Powers (Germany, Italy, and Japan).","(Bombing of) New York, German attacked New York, To support the Central Powers (Germany, Austria-Hungary, and Ottoman Empire), To oppose the Allied Powers (England, France, and Russia)
(Assassination of) Archduke Franz Ferdinand, Serbians attacked Austria-Hungary, To support the Axis Powers (Germany, Italy, and Japan), To oppose the Allied Powers (England, France, and Russia)
(Sinking of the) Lusitania, German U-boats attacked passenger ships, To support the Allied Powers (Germany, Italy, and Japan), To oppose the Axis Powers (England, France, and Russia)"
107,American History,Recent American History,Dwight Eisenhower is famous for many things. Name one.,"General during World War II, President at the end of (during) the Korean War, 34th president of the United States, Signed the Federal-Aid Highway Act of 1956 (Created the Interstate System)","Dwight D. Eisenhower was a key figure in American history, first as a Supreme Commander of the Allied Expeditionary Force in World War II, leading the D-Day invasion. Later, he became the 34th U.S. President, known for ending the Korean War and establishing the Interstate Highway System.","First President of the United States, Wrote the Declaration of Independence, Led the Civil Rights Movement
Led the American Revolution, Invented the light bulb, Served as Vice President (during) the Cold War
Authored the Emancipation Proclamation, Founded the United Nations, 40th president of the United States"
108,American History,Recent American History,Who was the United States’ main rival during the Cold War?,"Soviet Union, USSR, Russia","Explanation: The Soviet Union (also known as the USSR or Russia) was the primary political and ideological adversary of the United States during the Cold War.

Background: The Cold War was a period of geopolitical tension between the United States and its allies and the Soviet Union and its satellite states, lasting from the end of World War II in the mid-1940s until the collapse of the Soviet Union in 1991. It was characterized by an arms race, proxy wars, and a struggle for global influence, but without direct large-scale military conflict between the two superpowers.","Germany, France, UK
China, Japan, Italy
Canada, Mexico, Brazil"
109,American History,Recent American History,"During the Cold War, what was one main concern of the United States?","Communism, Nuclear war","During the Cold War, the U.S. was primarily concerned with the spread of Communism, a political ideology where the state controls the economy and society, which they saw as a threat to democracy and capitalism. They were also deeply concerned about nuclear war, fearing a devastating conflict with the Soviet Union, especially given the development of atomic bombs and intercontinental ballistic missiles.","Socialism, Economic slump
Colonialism, Civil unrest
Isolationism, World War"
110,American History,Recent American History,Why did the United States enter the Korean War?,To stop the spread of communism,"The Korean War (1950-1953) was a conflict between North Korea (supported by China and the Soviet Union) and South Korea (supported by the United Nations, primarily the United States). The US intervened to prevent North Korea's communist government from taking over South Korea, as part of its broader Cold War policy of containing communism globally.","To promote democracy
To gain new territories
To support the Soviet Union"
111,American History,Recent American History,Why did the United States enter the Vietnam War?,To stop the spread of communism,"The United States entered the Vietnam War primarily to prevent the spread of communism in Southeast Asia, a policy known as the ""domino theory."" This theory posited that if one country in a region fell to communism, others would soon follow. The US saw the conflict in Vietnam as a critical front in the broader Cold War against the Soviet Union and China.","To acquire new territories
To establish a new government
To protect its economic interests"
112,American History,Recent American History,What did the civil rights movement do?,Fought to end racial discrimination,The Civil Rights Movement was a struggle for social justice that took place primarily during the 1950s and 1960s for Black Americans to gain equal rights under the law in the United States. Its main goal was to end racial discrimination and segregation.,"Fought to end racial segregation
Fought for women's suffrage
Fought against economic inequality"
113,American History,Recent American History,"Martin Luther King, Jr. is famous for many things. Name one. *","Fought for civil rights, Worked for equality for all Americans, Worked to ensure that people would “not be judged by the color of their skin, but by the content of their character”","Martin Luther King, Jr. was a leader in the American Civil Rights Movement. He advocated for equal rights and an end to discrimination against African Americans, famously expressing his hope that people would be judged by their character, not their skin color.","Became the first African American president, Wrote the Declaration of Independence, Invented the light bulb
Discovered America, Led the Boston Tea Party, Signed the Emancipation Proclamation
Fought in the Civil War, Founded the Red Cross, Was a general in the Revolutionary War"
114,American History,Recent American History,Why did the United States enter the Persian Gulf War?,To force the Iraqi military from Kuwait,"The United States intervened in the Persian Gulf War to liberate Kuwait after Iraq's invasion in August 1990. The international community widely condemned the invasion, and the US, leading a coalition of forces, launched Operation Desert Storm to expel Iraqi troops from Kuwait.","To protect the oil supply
To liberate Kuwait from Iraqi occupation
To establish democracy in the Middle East"
115,American History,Recent American History,"What major event happened on September 11, 2001 in the United States? *","Terrorists attacked the United States, Terrorists took over two planes and crashed them into the World Trade Center in New York City, Terrorists took over a plane and crashed into the Pentagon in Arlington, Virginia, Terrorists took over a plane originally aimed at Washington, D.C., and crashed in a field in Pennsylvania","On September 11, 2001, a series of four coordinated terrorist attacks by the Islamic terrorist group al-Qaeda against the United States resulted in the collapse of the World Trade Center towers in New York City and severe damage to the Pentagon in Arlington, Virginia. A fourth plane, believed to be headed for Washington D.C., crashed in a field in Pennsylvania after passengers and crew attempted to regain control.","Terrorists attacked the Twin Towers, Terrorists crashed planes into the White House and the Capitol Building, Terrorists used bombs to attack major cities, Terrorists attempted to hijack a train
Terrorists attacked government buildings, Terrorists took over two planes and crashed them into the Empire State Building, Terrorists took over a plane and crashed into the Statue of Liberty, Terrorists took over a plane originally aimed at New York City and crashed in a lake in Canada
Terrorists attacked military bases, Terrorists took over two planes and crashed them into the Golden Gate Bridge, Terrorists took over a plane and crashed into Mount Rushmore, Terrorists took over a plane originally aimed at Los Angeles and crashed in a desert in Arizona"
116,American History,Recent American History,"Name one U.S. military conflict after the September 11, 2001 attacks.","(Global) War on Terror, War in Afghanistan, War in Iraq","The September 11, 2001 attacks prompted the United States to launch military operations, including the Global War on Terror, which encompassed the War in Afghanistan and the War in Iraq, to combat terrorism and associated regimes.","(Civil) Korean War, War in Vietnam, World War II
(Desert) Persian Gulf, War in Europe, War in Cuba
(Cold) Space Race, War in Russia, War in Berlin"
117,American History,Recent American History,Name one American Indian tribe in the United States.,"Apache, Blackfeet, Cayuga, Cherokee, Cheyenne, Chippewa, Choctaw, Creek, Crow, Hopi, Huron, Inupiat, Lakota, Mohawk, Mohegan, Navajo, Oneida, Onondaga, Pueblo, Seminole, Seneca, Shawnee, Sioux, Teton, Tuscarora","These are some of the many federally recognized American Indian tribes in the United States. These tribes represent diverse cultures, languages, and histories, and they are sovereign nations with their own governments and traditions.","Germany, France, Spain
Apple, Banana, Orange
Dog, Cat, Bird"
