Index,Category,SubCategory,Category_AR,SubCategory_AR,Question_EN,Answers_EN,Question_AR,Answers_AR
114,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,Why did the United States enter the Persian Gulf War?,To force the Iraqi military from Kuwait,لماذا دخلت الواليات المتحدة حرب الخليج؟,إجبار الجيش العراقي الخروج من الكويت
117,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,Name one American Indian tribe in the United States.,"Apache, Blackfeet, Cayuga, Cherokee, Cheyenne, Chippewa, Choctaw, Creek, Crow, Hopi, Huron, Inupiat, Lakota, Mohawk, Mohegan, Navajo, Oneida, Onondaga, Pueblo, Seminole, Seneca, Shawnee, Sioux, Teton, Tuscarora",,
118,American History,Recent American History and Other Important Historical Information,التاريخ الأمريكي,,Name one example of an American innovation.,Light bulb,,
119,Symbols and Holidays,Symbols,الرموز والعطالت,,What is the capital of the United States?,,,
120,Symbols and Holidays,Symbols,الرموز والعطالت,,Where is the Statue of Liberty?,New York (Harbor),,
121,Symbols and Holidays,Symbols,الرموز والعطالت,,Why does the flag have 13 stripes? *,"(Because there were) 13 original colonies, (Because the stripes) represent the original colonies",لماذا يحمل العلم ١٣ شریطاً؟*,"كانت توجد ١٣ مقاطعة أصلیة, ألن الخطوط تمثل المقاطعات األصلية"
122,Symbols and Holidays,Symbols,الرموز والعطالت,,Why does the flag have 50 stars?,"(Because there is) one star for each state, (Because) each star represents a state, (Because there are) 50 states",لماذا يحمل العلم ٥٠ نجمة؟,"بسبب وجود نجمة لكل والية, ألن كل نجمة تمثل والیة, بسبب وجود ٥٠ والیة"
123,Symbols and Holidays,Symbols,الرموز والعطالت,,What is the name of the national anthem?,The Star-Spangled Banner,ما ھو اسم النشيد الوطني؟,الراية المرصعة بالنجوم )ستار سبانسبا بانر)
124,Symbols and Holidays,Symbols,الرموز والعطالت,,The Nation’s first motto was “E Pluribus Unum.” What does that mean?,,,
125,Symbols and Holidays,Holidays,الرموز والعطالت,,What is Independence Day?,"A holiday to celebrate U.S. independence (from Britain), The country’s birthday",ما هو عيد االستقالل؟,"عطلة لالحتفال باستقالل الواليات المتحدة )عن بربريطان), عيد مولد البالد"
126,Symbols and Holidays,Holidays,الرموز والعطالت,,Name three national U.S. holidays. *,New Year’s Day,,
127,Symbols and Holidays,Holidays,الرموز والعطالت,,What is Memorial Day?,A holiday to honor soldiers who died in military service,ما هو يوم الذكرى؟,عطلة لتكريم الجنود المتوفين في الخدمة العسكرية
128,Symbols and Holidays,Holidays,الرموز والعطالت,,What is Veterans Day?,"A holiday to honor people in the (U.S.) military, A holiday to honor people who have served (in the U.S. military)",ما هو يوم المحاربين القدامى؟,"عطلة لتكريم أفراد الجيش )الواليات المتحدة), عطلة لتكريم األشخاص الذين خدموا )في الالج الألأمري)"
